-2223336.80893002 -3369796.06391572 4531703.59635312
-2223149.22892018 -3369948.82751195 4531123.42046732
-2222961.36221080 -3370101.32665914 4530542.51052388
-2222773.20897932 -3370253.56157489 4529960.86751860
-2222584.76939895 -3370405.53247526 4529378.49245078
-2222396.04365081 -3370557.23957337 4528795.38630829
-2222207.03190813 -3370708.68308642 4528211.55008812
-2222017.73435144 -3370859.86322939 4527626.98478827
-2221828.15115740 -3371010.78021912 4527041.69139935
-2221638.28250404 -3371161.43427211 4526455.67091768
-2221448.12856834 -3371311.82560266 4525868.92433554
-2221257.68952876 -3371461.95442622 4525281.45265110
-2221066.96556390 -3371611.82095849 4524693.25685290
-2220875.95685330 -3371761.42541406 4524104.33794044
-2220684.66357584 -3371910.76801334 4523514.69690817
-2220493.08591115 -3372059.84896833 4522924.33474596
-2220301.22403827 -3372208.66849647 4522333.25245191
-2220109.07813600 -3372357.22681740 4521741.45102001
-2219916.64838760 -3372505.52414378 4521148.93144452
-2219723.93497169 -3372653.56069545 4520555.69472188
-2219530.93807002 -3372801.33668755 4519961.74184101
-2219337.65786018 -3372948.85233547 4519367.07379826
-2219144.09452658 -3373096.10786014 4518771.69158701
-2218950.24824937 -3373243.10347551 4518175.59620582
-2218756.11921032 -3373389.83939794 4517578.78864547
-2218561.70759311 -3373536.31584549 4516981.26990127
-2218367.01357615 -3373682.53303479 4516383.04096499
-2218172.03734177 -3373828.49118505 4515784.10283205
-2217976.77907482 -3373974.19051196 4515184.45649276
-2217781.23895664 -3374119.63123238 4514584.10294141
-2217585.41717115 -3374264.81356301 4513983.04317874
-2217389.31390040 -3374409.73772261 4513381.27818733
-2217192.92933022 -3374554.40392954 4512778.80896956
-2216996.26364117 -3374698.81240137 4512175.63651441
-2216799.31702015 -3374842.96335629 4511571.76181889
-2216602.08965067 -3374986.85701033 4510967.18587256
-2216404.58171692 -3375130.49358386 4510361.90967195
-2216206.79340274 -3375273.87329310 4509755.93420947
-2216008.72489267 -3375416.99635556 4509149.26047411
-2215810.37637448 -3375559.86299365 4508541.88946278
-2215611.74803023 -3375702.47341997 4507933.82216614
-2215412.84004709 -3375844.82785502 4507325.05958173
-2215213.65261090 -3375986.92651756 4506715.60269845
-2215014.18590743 -3376128.76962385 4506105.45250993
