0 -2223.336809 -3369.796064 4531.703596
1 -2223.149229 -3369.948828 4531.123420
2 -2222.961362 -3370.101327 4530.542511
3 -2222.773209 -3370.253562 4529.960868
4 -2222.584769 -3370.405532 4529.378492
5 -2222.396044 -3370.557240 4528.795386
6 -2222.207032 -3370.708683 4528.211550
7 -2222.017734 -3370.859863 4527.626985
8 -2221.828151 -3371.010780 4527.041691
9 -2221.638283 -3371.161434 4526.455671
10 -2221.448129 -3371.311826 4525.868924
11 -2221.257690 -3371.461954 4525.281453
12 -2221.066966 -3371.611821 4524.693257
13 -2220.875957 -3371.761425 4524.104338
14 -2220.684664 -3371.910768 4523.514697
15 -2220.493086 -3372.059849 4522.924335
16 -2220.301224 -3372.208668 4522.333252
17 -2220.109078 -3372.357227 4521.741451
18 -2219.916648 -3372.505524 4521.148931
19 -2219.723935 -3372.653561 4520.555695
20 -2219.530938 -3372.801337 4519.961742
21 -2219.337658 -3372.948852 4519.367074
22 -2219.144095 -3373.096108 4518.771692
23 -2218.950248 -3373.243103 4518.175596
24 -2218.756119 -3373.389839 4517.578789
25 -2218.561708 -3373.536316 4516.981270
26 -2218.367014 -3373.682533 4516.383041
27 -2218.172037 -3373.828491 4515.784103
28 -2217.976779 -3373.974191 4515.184456
29 -2217.781239 -3374.119631 4514.584103
30 -2217.585417 -3374.264814 4513.983043
31 -2217.389314 -3374.409738 4513.381278
32 -2217.192929 -3374.554404 4512.778809
33 -2216.996264 -3374.698812 4512.175637
34 -2216.799317 -3374.842963 4511.571762
35 -2216.602090 -3374.986857 4510.967186
36 -2216.404582 -3375.130494 4510.361910
37 -2216.206793 -3375.273873 4509.755934
38 -2216.008725 -3375.416996 4509.149260
39 -2215.810376 -3375.559863 4508.541889
40 -2215.611748 -3375.702473 4507.933822
41 -2215.412840 -3375.844828 4507.325060
42 -2215.213653 -3375.986927 4506.715603
43 -2215.014186 -3376.128770 4506.105453
