48.50344022 -123.41618112
48.49964294 -123.41276510
48.49584313 -123.40934779
48.49204077 -123.40592918
48.48823587 -123.40250929
48.48442844 -123.39908811
48.48061848 -123.39566564
48.47680598 -123.39224187
48.47299096 -123.38881682
48.46917341 -123.38539047
48.46535334 -123.38196282
48.46153074 -123.37853389
48.45770563 -123.37510366
48.45387800 -123.37167213
48.45004785 -123.36823931
48.44621519 -123.36480520
48.44238002 -123.36136979
48.43854234 -123.35793308
48.43470215 -123.35449508
48.43085946 -123.35105578
48.42701426 -123.34761518
48.42316657 -123.34417328
48.41931637 -123.34073009
48.41546368 -123.33728559
48.41160850 -123.33383980
48.40775082 -123.33039271
48.40389066 -123.32694431
48.40002801 -123.32349461
48.39616287 -123.32004362
48.39229525 -123.31659132
48.38842515 -123.31313772
48.38455257 -123.30968281
48.38067751 -123.30622661
48.37679998 -123.30276910
48.37291997 -123.29931028
48.36903750 -123.29585017
48.36515255 -123.29238874
48.36126515 -123.28892601
48.35737527 -123.28546198
48.35348294 -123.28199664
48.34958814 -123.27852999
48.34569089 -123.27506204
48.34179119 -123.27159278
48.33788903 -123.26812221
