1 14913.625705 -11485.489730 18739.269798
1 14913.431899 -11483.110667 18740.881969
1 14913.238201 -11480.731393 18742.493741
1 14913.044610 -11478.351906 18744.105115
1 14912.851127 -11475.972208 18745.716090
1 14912.657751 -11473.592299 18747.326666
1 14912.464484 -11471.212178 18748.936844
1 14912.271324 -11468.831846 18750.546623
1 14912.078272 -11466.451302 18752.156002
1 14911.885328 -11464.070546 18753.764983
1 14911.692492 -11461.689580 18755.373565
1 14911.499765 -11459.308402 18756.981748
1 14911.307145 -11456.927013 18758.589532
1 14911.114633 -11454.545413 18760.196917
1 14910.922229 -11452.163602 18761.803903
1 14910.729933 -11449.781580 18763.410490
1 14910.537746 -11447.399347 18765.016678
1 14910.345666 -11445.016903 18766.622466
1 14910.153695 -11442.634248 18768.227856
1 14909.961832 -11440.251383 18769.832846
1 14909.770077 -11437.868306 18771.437437
1 14909.578431 -11435.485019 18773.041628
1 14909.386893 -11433.101522 18774.645420
1 14909.195463 -11430.717813 18776.248813
1 14909.004142 -11428.333894 18777.851807
1 14908.812930 -11425.949765 18779.454401
1 14908.621825 -11423.565425 18781.056595
1 14908.430830 -11421.180875 18782.658390
1 14908.239942 -11418.796115 18784.259786
1 14908.049164 -11416.411144 18785.860782
1 14907.858494 -11414.025963 18787.461378
1 14907.667932 -11411.640572 18789.061575
1 14907.477480 -11409.254971 18790.661372
1 14907.287136 -11406.869160 18792.260769
1 14907.096901 -11404.483139 18793.859767
1 14906.906774 -11402.096908 18795.458364
1 14906.716757 -11399.710467 18797.056562
1 14906.526848 -11397.323816 18798.654360
1 14906.337048 -11394.936955 18800.251759
1 14906.147357 -11392.549885 18801.848757
1 14905.957775 -11390.162605 18803.445355
1 14905.768302 -11387.775115 18805.041554
1 14905.578938 -11385.387416 18806.637352
1 14905.389683 -11382.999507 18808.232751


2 13903.785267 -9727.316080 20433.329920
2 13903.936265 -9724.722978 20434.461428
2 13904.087418 -9722.129742 20435.592501
2 13904.238726 -9719.536373 20436.723139
2 13904.390189 -9716.942870 20437.853343
2 13904.541806 -9714.349234 20438.983111
2 13904.693579 -9711.755465 20440.112445
2 13904.845507 -9709.161562 20441.241344
2 13904.997589 -9706.567527 20442.369809
2 13905.149827 -9703.973359 20443.497838
2 13905.302220 -9701.379057 20444.625432
2 13905.454768 -9698.784623 20445.752592
2 13905.607471 -9696.190056 20446.879316
2 13905.760329 -9693.595356 20448.005606
2 13905.913342 -9691.000523 20449.131461
2 13906.066510 -9688.405558 20450.256880
2 13906.219834 -9685.810460 20451.381865
2 13906.373312 -9683.215230 20452.506414
2 13906.526946 -9680.619867 20453.630528
2 13906.680735 -9678.024372 20454.754208
2 13906.834679 -9675.428744 20455.877452
2 13906.988779 -9672.832985 20457.000261
2 13907.143033 -9670.237093 20458.122635
2 13907.297443 -9667.641069 20459.244573
2 13907.452008 -9665.044912 20460.366076
2 13907.606729 -9662.448624 20461.487144
2 13907.761605 -9659.852204 20462.607777
2 13907.916636 -9657.255652 20463.727975
2 13908.071822 -9654.658969 20464.847737
2 13908.227164 -9652.062153 20465.967064
2 13908.382661 -9649.465206 20467.085955
2 13908.538314 -9646.868127 20468.204411
2 13908.694122 -9644.270917 20469.322432
2 13908.850086 -9641.673575 20470.440017
2 13909.006205 -9639.076102 20471.557166
2 13909.162479 -9636.478497 20472.673881
2 13909.318909 -9633.880761 20473.790159
2 13909.475494 -9631.282894 20474.906002
2 13909.632235 -9628.684895 20476.021410
2 13909.789132 -9626.086766 20477.136382
2 13909.946184 -9623.488506 20478.250918
2 13910.103391 -9620.890114 20479.365019
2 13910.260754 -9618.291592 20480.478684
2 13910.418273 -9615.692938 20481.591913


13 -21864.062300 -13499.161409 6722.289742
13 -21864.539293 -13499.906929 6719.240491
13 -21865.016045 -13500.652164 6716.191096
13 -21865.492556 -13501.397114 6713.141559
13 -21865.968826 -13502.141779 6710.091879
13 -21866.444855 -13502.886159 6707.042056
13 -21866.920642 -13503.630254 6703.992091
13 -21867.396188 -13504.374064 6700.941983
13 -21867.871492 -13505.117589 6697.891732
13 -21868.346556 -13505.860829 6694.841339
13 -21868.821377 -13506.603784 6691.790803
13 -21869.295957 -13507.346454 6688.740125
13 -21869.770296 -13508.088839 6685.689305
13 -21870.244393 -13508.830939 6682.638343
13 -21870.718248 -13509.572754 6679.587238
13 -21871.191862 -13510.314284 6676.535991
13 -21871.665233 -13511.055530 6673.484602
13 -21872.138363 -13511.796491 6670.433072
13 -21872.611251 -13512.537167 6667.381399
13 -21873.083897 -13513.277558 6664.329585
13 -21873.556302 -13514.017664 6661.277628
13 -21874.028464 -13514.757486 6658.225530
13 -21874.500384 -13515.497023 6655.173291
13 -21874.972062 -13516.236276 6652.120910
13 -21875.443497 -13516.975243 6649.068387
13 -21875.914691 -13517.713926 6646.015723
13 -21876.385642 -13518.452325 6642.962917
13 -21876.856351 -13519.190439 6639.909971
13 -21877.326818 -13519.928268 6636.856882
13 -21877.797042 -13520.665813 6633.803653
13 -21878.267024 -13521.403074 6630.750283
13 -21878.736763 -13522.140050 6627.696771
13 -21879.206259 -13522.876741 6624.643119
13 -21879.675513 -13523.613148 6621.589326
13 -21880.144525 -13524.349271 6618.535391
13 -21880.613293 -13525.085109 6615.481316
13 -21881.081819 -13525.820663 6612.427100
13 -21881.550102 -13526.555933 6609.372744
13 -21882.018143 -13527.290918 6606.318247
13 -21882.485940 -13528.025619 6603.263609
13 -21882.953494 -13528.760036 6600.208831
13 -21883.420806 -13529.494168 6597.153913
13 -21883.887874 -13530.228016 6594.098854
